"course_id","course_name","credits","duration_weeks","instructor","start_date"
5,"Machine Learning Fundamentals",4,8,"Priya Sharma","2023-11-01"
6,"Advanced SQL Queries",3,6,"Amit Verma","2023-12-10"
7,"Cloud Computing Basics",4,7,"Sunita Joshi","2024-01-15"
8,"Cybersecurity Essentials",3,6,"Rohit Mehra","2024-02-05"
9,"Java Programming",5,10,"Kiran Desai","2024-03-12"
10,"Mobile App Development",4,8,"Deepak Gupta","2024-04-01"
11,"Artificial Intelligence",5,10,"Meena Reddy","2024-05-10"
12,"Big Data Analytics",4,8,"Vikram Singh","2024-06-15"
13,"C++ Programming",3,7,"Anil Kapoor","2024-07-05"
14,"HTML & CSS",2,5,"Shalini Nair","2024-08-01"
15,"JavaScript Essentials",3,6,"Ramesh Iyer","2024-09-10"
16,"ReactJS Development",4,8,"Sneha Agarwal","2024-10-15"
17,"NodeJS Backend",4,8,"Manoj Sinha","2024-11-05"
18,"DevOps Practices",3,7,"Pooja Chawla","2024-12-01"
19,"Agile Methodologies",2,5,"Suresh Babu","2025-01-10"
20,"Project Management",4,8,"Nidhi Jain","2025-02-15"
21,"Linux Administration",3,6,"Arvind Menon","2025-03-05"
22,"Network Fundamentals",3,7,"Geeta Pillai","2025-04-01"
23,"Data Structures",4,8,"Vikas Dubey","2025-05-10"
24,"Algorithms",4,8,"Kavita Joshi","2025-06-15"
25,"PHP Programming",3,6,"Sanjay Rao","2025-07-05"
26,"Ruby on Rails",4,8,"Neeraj Sharma","2025-08-01"
27,"Mobile UI/UX Design",3,7,"Divya Kapoor","2025-09-10"
28,"Blockchain Basics",4,8,"Rahul Mishra","2025-10-15"
29,"IoT Fundamentals",3,6,"Swati Singh","2025-11-05"
30,"Python for Data Science",5,10,"Ajay Kumar","2025-12-01"
31,"Statistics for Data Science",4,8,"Megha Gupta","2026-01-10"
32,"Power BI Essentials",3,6,"Prakash Reddy","2026-02-15"
33,"Tableau Visualization",4,8,"Anita Desai","2026-03-05"
34,"Excel Advanced",3,7,"Vivek Sharma","2026-04-01"
35,"R Programming",4,8,"Sonia Mehta","2026-05-10"
36,"Scala for Big Data",3,6,"Nitin Bansal","2026-06-15"
37,"Hadoop Ecosystem",4,8,"Ruchi Jain","2026-07-05"
38,"Spark Fundamentals",4,8,"Gaurav Singh","2026-08-01"
39,"AWS Cloud Practitioner",3,7,"Kajal Patel","2026-09-10"
40,"Azure Fundamentals",3,6,"Tarun Sethi","2026-10-15"
41,"Google Cloud Basics",4,8,"Preeti Yadav","2026-11-05"
42,"Docker & Kubernetes",5,10,"Harish Kumar","2026-12-01"
43,"Ethical Hacking",4,8,"Sakshi Agarwal","2027-01-10"
44,"Penetration Testing",3,7,"Mohit Sharma","2027-02-15"
45,"Digital Marketing",4,8,"Ritika Verma","2027-03-05"
46,"SEO Fundamentals",3,6,"Yogesh Singh","2027-04-01"
47,"Content Writing",2,5,"Ananya Rao","2027-05-10"
48,"Graphic Design Basics",3,7,"Rohini Menon","2027-06-15"
49,"Video Editing",4,8,"Siddharth Jain","2027-07-05"
50,"Animation Essentials",4,8,"Bhavna Patel","2027-08-01"
